Inventory Report,,,,,,,,,,,,,,,,,Date:  6/4/26  12:42 PM EST   ,,
Inventory Date:  ,,1/1/00 to 5/31/26,,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,,
Plant:  ,,Madelia,,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,,
Supplier:  ,,All Suppliers,,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer and Stock Size,,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll ID,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221337,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221332,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221237,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221232,1,173,173,$759.73,$131.43,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221137,1,171,171,$759.73,$129.91,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0221132,1,172,172,$759.73,$130.67,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0216163,1,174,174,$759.73,$132.19,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,292.00 mm,IEP56E0216158,1,174,174,$759.73,$132.19,$0.00,$0.00
Quantity Subtotals: ,,,,,,,,,,,,,20,"3,468","3,468",,"$2,634.68",,$0.00
,,,,,,,,,,,,,,,,,,,
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,305.00 mm,M346C24191C,1,174,174,$699.86,$121.78,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,305.00 mm,M346C24183C,1,174,174,$699.86,$121.78,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,305.00 mm,M346C23161C,1,174,174,$699.86,$121.78,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,305.00 mm,M346C23141F,1,174,174,$699.86,$121.78,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,4/28/26,,,OVOL USA,MANUAL1176395-00,Offset,Boise Offset,74 ,305.00 mm,BC636C06073C,1,306,306,"$1,488.55",$455.50,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,4/28/26,,,OVOL USA,MANUAL1176395-00,Offset,Boise Offset,74 ,305.00 mm,BC636C06073B,1,307,307,"$1,488.55",$456.98,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,4/28/26,,,OVOL USA,MANUAL1176395-00,Offset,Boise Offset,74 ,305.00 mm,BC636C06061C,1,308,308,"$1,488.55",$458.47,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,4/28/26,,,OVOL USA,MANUAL1176395-00,Offset,Boise Offset,74 ,305.00 mm,BC636C06061B,1,308,308,"$1,488.55",$458.47,$0.00,$0.00
Quantity Subtotals: ,,,,,,,,,,,,,8,"1,925","1,925",,"$2,316.54",,$0.00
,,,,,,,,,,,,,,,,,,,
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,318.00 mm,IEP56E0301540,1,196,196,$759.73,$148.91,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,318.00 mm,IEP56E0222662,1,190,190,$759.73,$144.35,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,318.00 mm,IEP56E0222656,1,190,190,$759.73,$144.35,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,318.00 mm,IEP56E0221653,1,188,188,$759.73,$142.83,$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,5/11/26,4/13/26,MN20260406,OVOL USA,531017021,Newsprint,Inland Newsprint,43 ,318.00 mm,IEP56E0221553,1,188,188,$759.73,$142.83,$0.00,$0.00
