Inventory Report,,,,,,,,,,,,,,,,,Date:  6/4/26  12:43 PM EST   ,,
Inventory Date:  ,,1/1/00 to 5/31/26,,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,,
Plant:  ,,Minot,,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,,
Supplier:  ,,All Suppliers,,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer and Stock Size,,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll ID,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510370,1,179,179,"$1,130.00",$202.27,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510345,1,178,178,"$1,130.00",$201.14,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510340,1,178,178,"$1,130.00",$201.14,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510316,1,177,177,"$1,130.00",$200.01,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510311,1,177,177,"$1,130.00",$200.01,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510274,1,178,178,"$1,130.00",$201.14,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510270,1,179,179,"$1,130.00",$202.27,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510245,1,178,178,"$1,130.00",$201.14,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510240,1,178,178,"$1,130.00",$201.14,$0.00,$0.00
Supplier,Ogden Newspapers,Minot,10/17/22,,,OVOL USA,0635004420221003,Hi-Brite,Inland Brite 72,52 ,279.00 mm,IEP52K1510216,1,177,177,"$1,130.00",$200.01,$0.00,$0.00
