Inventory Report,,,,,,,,,,,,,,,,,Date:  6/5/26  10:15 AM EST   ,,
Inventory Date:  ,,1/1/00 to 5/31/26,,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,,
Plant:  ,,Webster City,,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,,
Supplier:  ,,All Suppliers,,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer and Stock Size,,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll ID,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18074B,1,143,143,$640.10,$91.53,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18072C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18072B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18071C,1,138,138,$640.10,$88.33,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18071B,1,139,139,$640.10,$88.97,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18063C,1,142,142,$640.10,$90.89,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18063B,1,143,143,$640.10,$91.53,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18062C,1,140,140,$640.10,$89.61,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18062B,1,141,141,$640.10,$90.25,$0.00,$0.00
Supplier,Ogden Newspapers,Webster City,3/26/26,,,OVOL USA,6410033202611,Newsprint,Kap Paper Newsprint,45 ,267.00 mm,M346A18061C,1,139,139,$640.10,$88.97,$0.00,$0.00
