Inventory Report,,,,,,,,,,,,,,,,Date:  6/4/26  5:10 PM EST   ,,
Inventory Date:  ,,4/30/26,,,,,,,,,,,,,,,,
Account:  ,,Gould,,,,,,,,,,,,,,,,
Plant:  ,,All Locations,,,,,,,,,,,,,,,,
Paper Type:  ,,Rolls - All Paper Types,,,,,,,,,,,,,,,,
Supplier:  ,,#ALL# / OVOL USA,,,,,,,,,,,,,,,,
Definitions:  ,,Available: Not assigned;  Applied: Assigned but not consumed;  Rejected: Rejected but in plant;  WIP: Work In Process,,,,,,,,,,,,,,,,
Sorted by:  ,,Printer,,,,,,,,,,,,,,,,
Ownership,Printer,Plant,Received Date,Issue Date,End User PO#,Supplier,PO Number,Paper Type,Product Name,Grammage (g/m²),Roll Width,Roll Count,Available Quantity,Total Quantity,Price/mt,Cost,Net Price/mt,Net Cost
Supplier,Ogden Newspapers,St. James,1/23/26,,,OVOL USA,06300093202611,Hi-Brite,KruBrite 80 Offset,51.8 ,387.00 mm,20,"4,809","4,809",$990.91,"$4,765.29",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,42.5 ,406.00 mm,0,"2,679","2,679",$670.40,"$1,796.00",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,3/31/26,,,OVOL USA,06300033202621,Newsprint,Kap Paper Newsprint,42.5 ,406.00 mm,0,"1,369","1,369",$699.86,$958.11,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,10/24/24,,,OVOL USA,063000932024111,Hi-Brite,KruBrite 80 Offset,51.8 ,406.00 mm,0,506,506,$990.91,$501.40,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,12/2/24,,,OVOL USA,063000932024121,Hi-Brite,KruBrite 80 Offset,51.8 ,406.00 mm,6,"1,487","1,487",$990.91,"$1,473.48",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,10/1/25,,,OVOL USA,063000932025101,Hi-Brite,KruBrite 80 Offset,51.8 ,406.00 mm,4,"1,027","1,027",$990.91,"$1,017.66",$0.00,$0.00
Supplier,Ogden Newspapers,Madelia,12/30/25,,,OVOL USA,063000332025121,Newsprint,Kap Paper Newsprint,45 ,432.00 mm,8,"4,915","4,915",$639.76,"$3,144.42",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,10/1/25,,,OVOL USA,063000932025101,Hi-Brite,KruBrite 80 Offset,51.8 ,432.00 mm,2,"1,630","1,630",$990.91,"$1,615.18",$0.00,$0.00
Supplier,Ogden Newspapers,St. James,11/19/25,,,OVOL USA,063000932025111,Hi-Brite,KruBrite 80 Offset,51.8 ,432.00 mm,2,530,530,$990.91,$525.18,$0.00,$0.00
Supplier,Ogden Newspapers,St. James,9/16/25,,,OVOL USA,06300093202591,Hi-Brite,KruBrite 80 Offset,51.8 ,432.00 mm,4,"2,175","2,175",$990.91,"$2,155.23",$0.00,$0.00
